CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST-11422,Male,0,No,Yes,53,Yes,No,Month-to-month,Bank transfer (automatic),Yes,18.0,922.43,No
CUST-13885,Female,0,No,Yes,22,Yes,No,One year,Credit card (automatic),Yes,24.99,548.53,No
CUST-10372,Female,1,No,No,33,No,Fiber optic,Month-to-month,Mailed check,Yes,65.72,2163.98,Yes
CUST-14448,Female,1,No,Yes,22,Yes,Fiber optic,Month-to-month,Credit card (automatic),No,97.3,2130.2,No
CUST-10672,Female,0,No,No,17,No,Fiber optic,Two year,Bank transfer (automatic),No,65.02,1108.02,Yes
CUST-13835,Female,0,No,No,57,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,85.61,4883.9,No
CUST-12288,Male,0,No,Yes,46,Yes,Fiber optic,Month-to-month,Mailed check,Yes,88.81,4035.39,No
CUST-14451,Female,0,Yes,Yes,65,Yes,DSL,Month-to-month,Bank transfer (automatic),No,41.31,2667.63,No
CUST-12948,Female,0,Yes,No,28,No,Fiber optic,Month-to-month,Electronic check,Yes,89.31,2479.54,No
CUST-14627,Female,0,No,No,21,Yes,Fiber optic,Two year,Bank transfer (automatic),Yes,84.68,1782.5,No
CUST-14067,Male,0,No,No,23,Yes,DSL,One year,Mailed check,Yes,54.82,1282.26,No
CUST-11741,Female,0,No,No,20,Yes,DSL,One year,Electronic check,Yes,69.8,1395.05,Yes
CUST-13888,Male,0,No,No,63,Yes,Fiber optic,Two year,Mailed check,Yes,65.36,4127.13,No
CUST-10695,Female,0,Yes,No,22,Yes,DSL,Two year,Credit card (automatic),Yes,63.53,1392.02,No
CUST-12520,Male,0,Yes,Yes,6,Yes,DSL,One year,Bank transfer (automatic),No,54.26,319.84,No
CUST-10500,Male,0,No,No,67,Yes,Fiber optic,One year,Credit card (automatic),Yes,75.61,5024.32,No
CUST-10960,Male,0,No,No,44,Yes,No,Two year,Credit card (automatic),Yes,32.95,1465.83,No
CUST-10561,Male,0,Yes,Yes,62,Yes,Fiber optic,Month-to-month,Credit card (automatic),No,85.99,5336.34,Yes
CUST-13517,Male,0,No,No,54,Yes,Fiber optic,Month-to-month,Credit card (automatic),No,85.77,4641.99,No
CUST-10078,Male,0,No,No,59,Yes,Fiber optic,One year,Credit card (automatic),Yes,80.89,4775.37,No
CUST-10161,Male,1,No,No,37,Yes,Fiber optic,Month-to-month,Mailed check,Yes,100.13,3700.67,No
CUST-10213,Male,0,Yes,No,62,Yes,Fiber optic,Month-to-month,Mailed check,Yes,93.02,5754.13,No
CUST-13416,Female,1,Yes,Yes,31,Yes,Fiber optic,One year,Mailed check,Yes,65.48,2039.71,No
CUST-11884,Male,1,No,No,35,Yes,Fiber optic,Month-to-month,Mailed check,No,73.98,2545.46,No
CUST-14543,Female,0,Yes,No,55,Yes,No,One year,Mailed check,No,18.0,982.25,No
CUST-14696,Male,0,No,Yes,55,Yes,DSL,One year,Electronic check,No,54.44,2999.38,No
CUST-10588,Female,0,Yes,No,59,Yes,Fiber optic,Month-to-month,Electronic check,Yes,72.92,4288.41,Yes
CUST-10886,Male,0,No,No,52,Yes,Fiber optic,Month-to-month,Mailed check,Yes,59.58,3104.06,No
CUST-12090,Female,0,No,No,22,Yes,No,Month-to-month,Credit card (automatic),No,27.29,606.51,Yes
CUST-10474,Male,0,No,No,18,No,DSL,One year,Credit card (automatic),Yes,51.11,910.78,No
CUST-14521,Male,0,No,Yes,29,Yes,DSL,One year,Electronic check,No,65.72,1887.54,No
CUST-10402,Male,0,Yes,Yes,63,Yes,Fiber optic,Month-to-month,Electronic check,Yes,68.74,4338.31,Yes
CUST-12027,Female,1,Yes,No,36,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,88.78,3212.06,Yes
CUST-12211,Male,0,No,Yes,50,Yes,DSL,Month-to-month,Credit card (automatic),Yes,59.94,2972.35,Yes
CUST-11925,Male,0,No,No,43,Yes,Fiber optic,Month-to-month,Electronic check,No,112.54,4810.1,No
CUST-12321,Female,0,No,Yes,61,Yes,Fiber optic,Month-to-month,Mailed check,No,108.98,6673.7,No
CUST-13601,Female,0,No,Yes,32,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,65.71,2104.57,No
CUST-10195,Female,0,No,No,51,Yes,No,Month-to-month,Mailed check,No,29.87,1542.29,No
CUST-10427,Female,1,No,No,36,Yes,Fiber optic,Two year,Mailed check,Yes,120.0,4330.76,No
CUST-11583,Female,0,No,Yes,56,Yes,Fiber optic,One year,Mailed check,Yes,85.49,4783.94,Yes
CUST-14297,Female,0,Yes,Yes,71,Yes,DSL,Month-to-month,Electronic check,Yes,59.76,4294.36,Yes
CUST-12050,Female,1,Yes,No,31,Yes,Fiber optic,Month-to-month,Electronic check,No,85.33,2651.66,Yes
CUST-11256,Female,0,Yes,No,52,Yes,Fiber optic,Two year,Credit card (automatic),Yes,99.47,5138.54,No
CUST-13869,Female,0,No,Yes,28,Yes,No,One year,Electronic check,No,22.7,644.26,No
CUST-11124,Female,0,Yes,No,61,Yes,Fiber optic,Month-to-month,Electronic check,Yes,75.1,4574.32,Yes
CUST-14445,Male,0,No,Yes,60,Yes,DSL,Month-to-month,Credit card (automatic),Yes,63.21,3806.66,No
CUST-14834,Male,0,Yes,Yes,14,No,DSL,Month-to-month,Electronic check,No,43.73,586.56,Yes
CUST-10172,Male,0,No,No,17,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,66.53,1145.11,No
CUST-10622,Male,0,Yes,Yes,15,Yes,Fiber optic,Two year,Mailed check,Yes,120.0,1784.23,No
CUST-11175,Male,0,Yes,No,17,Yes,Fiber optic,One year,Mailed check,Yes,88.61,1499.3,No
CUST-12431,Female,0,Yes,No,26,Yes,Fiber optic,Two year,Bank transfer (automatic),No,94.37,2471.47,No
CUST-11698,Male,0,No,No,59,Yes,Fiber optic,One year,Credit card (automatic),No,93.13,5553.11,No
CUST-13487,Male,1,Yes,No,58,Yes,No,Month-to-month,Electronic check,Yes,18.0,1063.4,Yes
CUST-13451,Male,0,No,Yes,35,Yes,DSL,Month-to-month,Mailed check,Yes,66.41,2331.47,Yes
CUST-12261,Female,1,Yes,No,64,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,56.46,3622.36,Yes
CUST-14867,Male,0,Yes,No,24,Yes,No,One year,Mailed check,No,34.44,838.49,No
CUST-11297,Male,0,No,No,27,Yes,No,Month-to-month,Electronic check,No,18.0,505.13,No
CUST-13171,Male,0,Yes,No,68,Yes,Fiber optic,Two year,Electronic check,No,78.14,5311.02,No
CUST-12147,Male,0,No,No,71,Yes,Fiber optic,Month-to-month,Electronic check,Yes,97.76,6953.32,Yes
CUST-14318,Female,1,No,No,39,Yes,DSL,One year,Electronic check,No,36.59,1464.46,No
CUST-12026,Male,0,No,No,32,Yes,DSL,One year,Bank transfer (automatic),Yes,60.78,1970.98,No
CUST-13993,Male,0,No,No,4,No,No,Month-to-month,Mailed check,Yes,19.88,94.32,No
CUST-10318,Male,0,No,No,5,Yes,No,Month-to-month,Bank transfer (automatic),No,18.0,101.28,Yes
CUST-13045,Male,0,Yes,No,44,Yes,No,Month-to-month,Credit card (automatic),Yes,26.93,1200.1,No
CUST-10473,Female,0,No,No,24,Yes,DSL,Two year,Credit card (automatic),Yes,49.95,1178.23,No
CUST-12571,Male,0,No,Yes,14,Yes,Fiber optic,Two year,Credit card (automatic),Yes,73.35,1038.58,No
CUST-14845,Male,0,No,No,39,Yes,Fiber optic,One year,Credit card (automatic),Yes,90.95,3556.11,No
CUST-13237,Male,0,No,No,29,Yes,DSL,Two year,Credit card (automatic),No,44.77,1303.1,No
CUST-12000,Male,0,No,No,10,Yes,DSL,Month-to-month,Bank transfer (automatic),No,63.11,594.07,Yes
CUST-11398,Female,0,Yes,No,41,Yes,DSL,One year,Electronic check,Yes,39.48,1640.89,No
CUST-13023,Female,0,Yes,No,54,Yes,DSL,Month-to-month,Credit card (automatic),No,50.13,2701.2,Yes
CUST-13528,Female,0,No,Yes,50,Yes,No,One year,Electronic check,No,33.86,1662.09,No
CUST-13752,Male,0,No,Yes,67,Yes,No,Month-to-month,Bank transfer (automatic),Yes,18.0,1169.33,No
CUST-11153,Female,0,No,No,44,Yes,DSL,Month-to-month,Bank transfer (automatic),No,43.69,1919.61,No
CUST-14403,Male,0,Yes,No,21,Yes,Fiber optic,One year,Bank transfer (automatic),No,77.2,1619.54,No
CUST-12082,Male,0,Yes,No,4,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,48.5,182.23,Yes
CUST-10562,Male,0,No,Yes,13,Yes,DSL,Month-to-month,Mailed check,No,67.45,906.45,No
CUST-13787,Male,0,Yes,No,30,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,92.2,2766.0,No
CUST-10757,Male,0,No,No,39,Yes,Fiber optic,One year,Bank transfer (automatic),Yes,107.58,4217.39,No
CUST-12622,Female,0,No,No,24,Yes,Fiber optic,Two year,Electronic check,Yes,81.59,1920.63,No
CUST-14748,Male,0,Yes,No,40,Yes,DSL,Month-to-month,Credit card (automatic),Yes,51.05,2053.01,No
CUST-10651,Female,0,No,Yes,55,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,77.72,4292.17,No
CUST-10968,Female,0,Yes,Yes,12,Yes,DSL,Two year,Mailed check,No,50.32,586.11,No
CUST-14617,Male,0,No,Yes,37,Yes,No,Month-to-month,Mailed check,Yes,36.94,1346.32,Yes
CUST-14367,Male,0,Yes,Yes,31,Yes,Fiber optic,One year,Electronic check,No,93.87,2905.35,No
CUST-11260,Male,0,Yes,Yes,58,Yes,DSL,Month-to-month,Credit card (automatic),Yes,75.75,4401.13,Yes
CUST-11841,Female,0,No,Yes,58,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,50.96,2950.67,Yes
CUST-11971,Male,1,No,No,57,Yes,No,Month-to-month,Mailed check,Yes,26.64,1553.45,Yes
CUST-13812,Female,0,Yes,Yes,16,Yes,Fiber optic,Month-to-month,Electronic check,Yes,58.76,962.21,Yes
CUST-12730,Male,0,No,Yes,58,Yes,DSL,Two year,Bank transfer (automatic),Yes,50.32,2899.08,No
CUST-10892,Male,1,No,Yes,34,Yes,No,Month-to-month,Bank transfer (automatic),No,24.92,845.16,No
CUST-14409,Female,0,Yes,Yes,35,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,87.11,3050.76,Yes
CUST-11141,Male,1,Yes,No,45,Yes,DSL,Month-to-month,Mailed check,No,39.92,1789.04,Yes
CUST-11727,Male,0,No,Yes,51,Yes,No,Month-to-month,Credit card (automatic),Yes,23.51,1191.88,Yes
CUST-12699,Female,0,Yes,No,13,Yes,Fiber optic,Month-to-month,Electronic check,No,110.56,1455.71,Yes
CUST-13823,Male,0,Yes,No,3,Yes,Fiber optic,Month-to-month,Electronic check,Yes,75.97,252.8,Yes
CUST-13908,Male,0,No,No,1,Yes,No,Month-to-month,Mailed check,No,18.0,4.06,No
CUST-13722,Female,0,No,No,17,Yes,Fiber optic,Two year,Credit card (automatic),No,82.69,1400.24,No
CUST-12352,Male,0,Yes,No,69,Yes,No,Month-to-month,Mailed check,Yes,25.58,1742.83,No
CUST-13615,Male,0,No,No,21,Yes,DSL,Month-to-month,Credit card (automatic),No,67.49,1458.96,No
CUST-11778,Female,0,Yes,No,31,Yes,No,Month-to-month,Electronic check,No,36.09,1087.03,Yes
CUST-12900,Female,0,Yes,No,21,Yes,No,Month-to-month,Mailed check,Yes,37.88,782.16,Yes
CUST-12406,Female,1,No,No,4,Yes,Fiber optic,Month-to-month,Electronic check,No,61.99,259.28,No
CUST-14505,Male,0,No,No,48,Yes,Fiber optic,Month-to-month,Electronic check,Yes,85.72,4099.0,Yes
CUST-14093,Male,1,Yes,No,36,Yes,Fiber optic,Month-to-month,Credit card (automatic),No,90.02,3271.73,No
CUST-13741,Female,0,No,No,58,Yes,No,One year,Bank transfer (automatic),Yes,18.0,1021.55,No
CUST-12753,Female,0,Yes,No,49,Yes,Fiber optic,Month-to-month,Mailed check,Yes,70.49,3457.88,Yes
CUST-14871,Male,0,Yes,No,22,Yes,No,Month-to-month,Mailed check,Yes,24.97,554.39,No
CUST-12905,Male,1,Yes,Yes,53,Yes,DSL,Two year,Mailed check,Yes,49.29,2631.46,No
CUST-10004,Male,0,No,No,6,Yes,Fiber optic,One year,Bank transfer (automatic),Yes,61.86,363.28,Yes
CUST-10328,Female,0,No,No,51,Yes,Fiber optic,Two year,Electronic check,Yes,83.94,4300.87,No
CUST-12856,Female,0,No,No,3,Yes,No,Month-to-month,Electronic check,No,18.0,44.85,Yes
CUST-13432,Male,0,Yes,No,59,Yes,DSL,One year,Bank transfer (automatic),Yes,61.22,3622.3,No
CUST-12651,Male,0,Yes,No,52,No,DSL,One year,Electronic check,No,39.54,2026.36,No
CUST-11966,Male,0,No,No,22,Yes,DSL,One year,Credit card (automatic),Yes,57.83,1257.28,No
CUST-12958,Male,1,Yes,No,15,No,DSL,Month-to-month,Electronic check,Yes,35.67,569.7,No
CUST-11252,Female,0,Yes,Yes,11,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,120.0,1340.68,Yes
CUST-12926,Female,1,Yes,No,15,Yes,Fiber optic,One year,Electronic check,Yes,79.52,1213.66,No
CUST-11137,Female,0,Yes,No,8,Yes,Fiber optic,Month-to-month,Electronic check,Yes,82.29,638.22,Yes
CUST-11086,Male,0,No,No,8,Yes,Fiber optic,Month-to-month,Mailed check,No,107.3,864.58,Yes
CUST-10083,Female,0,Yes,No,3,No,DSL,Month-to-month,Bank transfer (automatic),Yes,49.18,140.39,Yes
CUST-14317,Female,1,Yes,Yes,20,Yes,DSL,Two year,Mailed check,Yes,54.0,1080.68,Yes
CUST-11229,Male,0,Yes,Yes,47,Yes,No,Two year,Electronic check,Yes,21.21,1002.27,Yes
CUST-13647,Male,0,Yes,No,22,Yes,Fiber optic,Two year,Mailed check,Yes,67.93,1502.39,No
CUST-12998,Female,0,Yes,Yes,41,Yes,DSL,One year,Credit card (automatic),No,51.36,2129.43,Yes
CUST-14000,Female,0,Yes,No,34,Yes,DSL,Two year,Electronic check,Yes,47.42,1598.95,No
CUST-14781,Female,0,No,No,4,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,103.03,431.5,Yes
CUST-12705,Female,0,Yes,No,49,Yes,Fiber optic,One year,Bank transfer (automatic),Yes,84.25,4119.71,No
CUST-11235,Female,0,No,Yes,7,Yes,Fiber optic,Month-to-month,Mailed check,Yes,94.95,642.79,Yes
CUST-12797,Female,0,Yes,Yes,67,Yes,Fiber optic,One year,Bank transfer (automatic),Yes,87.32,5873.82,Yes
CUST-12779,Male,0,Yes,No,4,Yes,No,Month-to-month,Electronic check,No,31.11,115.43,Yes
CUST-14332,Male,0,No,No,60,Yes,DSL,One year,Credit card (automatic),No,72.64,4373.95,No
CUST-12081,Female,0,No,Yes,63,Yes,Fiber optic,One year,Credit card (automatic),Yes,72.62,4587.17,No
CUST-12094,Male,0,Yes,No,70,Yes,No,Month-to-month,Credit card (automatic),No,31.29,2154.8,Yes
CUST-13712,Male,0,No,No,52,Yes,No,Month-to-month,Bank transfer (automatic),Yes,34.67,1848.14,No
CUST-12686,Male,0,No,No,54,Yes,DSL,Month-to-month,Electronic check,Yes,63.17,3438.06,No
CUST-14426,Male,0,Yes,Yes,58,Yes,Fiber optic,Two year,Mailed check,No,75.41,4372.28,No
CUST-10737,Male,1,No,No,16,Yes,Fiber optic,Two year,Credit card (automatic),Yes,97.98,1601.15,No
CUST-12911,Male,0,No,No,39,Yes,DSL,Month-to-month,Credit card (automatic),No,38.72,1504.19,Yes
CUST-12604,Male,0,No,No,63,No,Fiber optic,Month-to-month,Mailed check,No,91.32,5737.58,No
CUST-13208,Female,0,No,No,30,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,57.66,1740.71,No
CUST-10665,Male,0,Yes,Yes,50,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,93.3,4665.2,No
CUST-10615,Male,1,Yes,No,67,Yes,DSL,One year,Credit card (automatic),Yes,60.05,4010.94,No
CUST-12378,Male,0,No,No,36,Yes,Fiber optic,Two year,Bank transfer (automatic),No,63.22,2275.11,No
CUST-10739,Female,0,Yes,No,48,Yes,DSL,One year,Mailed check,No,57.51,2802.18,No
CUST-14618,Male,0,No,No,50,Yes,No,Month-to-month,Mailed check,Yes,37.12,1853.62,No
CUST-14676,Male,1,Yes,No,28,Yes,Fiber optic,One year,Electronic check,Yes,74.34,2067.83,No
CUST-14629,Male,1,Yes,No,49,No,No,Month-to-month,Credit card (automatic),Yes,25.81,1248.12,Yes
CUST-12685,Male,1,No,No,49,Yes,Fiber optic,One year,Credit card (automatic),No,78.84,3826.83,No
CUST-13425,Female,0,Yes,No,53,Yes,Fiber optic,Two year,Credit card (automatic),No,84.21,4490.1,No
CUST-10985,Female,0,No,No,41,Yes,No,Month-to-month,Electronic check,No,21.41,874.06,No
CUST-12034,Male,0,Yes,No,40,Yes,Fiber optic,Month-to-month,Credit card (automatic),No,84.57,3387.54,Yes
CUST-13825,Female,0,Yes,Yes,50,Yes,Fiber optic,Month-to-month,Electronic check,Yes,61.51,3083.15,No
CUST-13077,Male,1,No,No,2,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,85.9,155.96,Yes
CUST-12955,Male,0,Yes,No,39,Yes,Fiber optic,Month-to-month,Credit card (automatic),No,97.88,3834.7,No
CUST-12816,Female,0,Yes,Yes,5,No,Fiber optic,Month-to-month,Electronic check,No,96.28,497.83,Yes
CUST-12036,Female,0,No,No,6,Yes,DSL,Two year,Credit card (automatic),No,52.46,312.82,No
CUST-12857,Male,1,Yes,No,44,Yes,Fiber optic,Two year,Bank transfer (automatic),No,49.95,2187.36,No
CUST-14422,Male,0,Yes,No,43,Yes,No,Month-to-month,Electronic check,No,19.64,860.0,No
CUST-13473,Female,1,No,No,20,Yes,DSL,One year,Mailed check,Yes,56.78,1117.93,No
CUST-12858,Male,1,Yes,No,12,Yes,No,Month-to-month,Electronic check,No,18.0,227.2,No
CUST-13931,Male,1,No,No,27,Yes,Fiber optic,Month-to-month,Electronic check,Yes,89.98,2418.72,Yes
CUST-14578,Female,0,Yes,No,66,Yes,DSL,Month-to-month,Bank transfer (automatic),No,49.23,3246.09,No
CUST-14990,Male,0,No,No,23,Yes,No,Month-to-month,Credit card (automatic),No,18.99,432.18,Yes
CUST-11283,Male,0,No,Yes,35,Yes,Fiber optic,Two year,Electronic check,Yes,95.41,3332.45,No
CUST-14079,Male,0,No,No,62,No,No,Two year,Electronic check,No,33.98,2136.62,No
CUST-12706,Male,0,No,No,0,Yes,Fiber optic,Month-to-month,Mailed check,Yes,82.08,0.0,Yes
CUST-11114,Male,0,Yes,No,23,Yes,Fiber optic,Month-to-month,Credit card (automatic),No,95.3,2203.7,No
CUST-13514,Female,0,No,Yes,33,No,No,One year,Credit card (automatic),Yes,18.0,613.64,No
CUST-10746,Male,0,Yes,No,44,Yes,Fiber optic,Month-to-month,Mailed check,Yes,70.72,3113.27,Yes
CUST-12666,Female,0,Yes,Yes,7,Yes,No,Month-to-month,Electronic check,No,26.81,193.53,Yes
CUST-13769,Female,0,Yes,No,50,Yes,No,Month-to-month,Bank transfer (automatic),Yes,24.41,1221.06,No
CUST-11682,Male,0,Yes,No,4,Yes,No,Month-to-month,Electronic check,No,34.47,118.96,Yes
CUST-14266,Male,1,Yes,No,3,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,85.94,238.79,Yes
CUST-11057,Male,0,No,No,63,Yes,Fiber optic,Two year,Bank transfer (automatic),Yes,95.49,6029.85,No
CUST-11146,Male,0,Yes,No,46,Yes,Fiber optic,Two year,Mailed check,Yes,84.38,3883.48,No
CUST-11795,Female,0,No,No,46,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,66.05,3028.94,Yes
CUST-10735,Male,0,No,No,30,Yes,DSL,Two year,Electronic check,No,55.54,1649.09,No
CUST-13785,Female,0,Yes,No,11,Yes,Fiber optic,Two year,Electronic check,Yes,92.08,999.9,Yes
CUST-11699,Female,0,No,No,3,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,54.48,140.38,Yes
CUST-14915,Female,0,Yes,No,1,Yes,DSL,Month-to-month,Credit card (automatic),Yes,47.41,23.62,No
CUST-12969,Male,0,No,No,57,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,95.15,5437.02,No
CUST-11096,Female,0,No,No,33,Yes,DSL,One year,Electronic check,No,48.48,1591.0,Yes
CUST-12414,Female,0,Yes,No,71,Yes,DSL,Month-to-month,Credit card (automatic),Yes,62.28,4423.15,No
CUST-14077,Male,0,No,No,17,Yes,Fiber optic,One year,Credit card (automatic),Yes,83.26,1404.96,No
CUST-13501,Male,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Electronic check,Yes,86.1,1129.83,Yes
CUST-12290,Female,0,Yes,No,52,Yes,DSL,Two year,Electronic check,No,54.0,2809.98,No
CUST-11726,Female,0,Yes,No,22,No,No,Month-to-month,Credit card (automatic),No,21.88,501.67,Yes
CUST-14174,Female,0,Yes,No,15,Yes,DSL,Month-to-month,Credit card (automatic),Yes,64.59,962.99,No
CUST-14378,Male,0,No,Yes,5,Yes,DSL,Month-to-month,Credit card (automatic),No,57.84,268.69,No
CUST-14314,Male,0,Yes,No,70,Yes,DSL,Month-to-month,Credit card (automatic),No,48.84,3412.5,Yes
CUST-11328,Female,1,Yes,Yes,28,No,No,Month-to-month,Electronic check,Yes,20.46,582.57,No
CUST-11832,Female,0,Yes,Yes,18,No,Fiber optic,Month-to-month,Mailed check,Yes,54.9,1017.66,No
CUST-13702,Female,1,No,Yes,53,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,96.68,5124.04,Yes
CUST-12776,Male,0,No,No,3,No,DSL,One year,Mailed check,No,41.21,97.73,No
CUST-14908,Female,0,No,Yes,51,Yes,No,Month-to-month,Electronic check,Yes,36.31,1844.08,Yes
CUST-12930,Female,0,Yes,No,46,Yes,No,Month-to-month,Credit card (automatic),Yes,23.63,1123.2,No
CUST-10742,Female,0,Yes,Yes,12,No,DSL,Two year,Mailed check,No,49.06,626.66,No
CUST-10459,Male,0,Yes,No,70,Yes,Fiber optic,One year,Bank transfer (automatic),Yes,89.96,6307.49,Yes
CUST-13622,Female,0,Yes,Yes,45,Yes,No,Month-to-month,Mailed check,No,18.0,838.76,No
CUST-14874,Female,0,No,Yes,0,Yes,No,Two year,Electronic check,Yes,28.56,22.92,Yes
CUST-13020,Female,0,No,Yes,55,Yes,Fiber optic,Month-to-month,Electronic check,No,99.74,5489.89,Yes
CUST-10138,Male,1,Yes,No,17,Yes,No,Two year,Electronic check,Yes,18.0,326.36,No
CUST-12790,Female,0,No,No,19,Yes,Fiber optic,One year,Mailed check,Yes,85.0,1635.21,No
CUST-13060,Female,0,Yes,No,10,Yes,DSL,One year,Mailed check,No,46.19,451.26,Yes
CUST-12872,Male,0,No,No,54,Yes,Fiber optic,Month-to-month,Electronic check,Yes,76.29,4115.09,No
CUST-14380,Female,0,No,No,41,Yes,Fiber optic,One year,Electronic check,Yes,104.55,4275.66,Yes
CUST-14975,Female,0,Yes,Yes,16,Yes,Fiber optic,Month-to-month,Electronic check,No,80.36,1249.05,Yes
CUST-10275,Female,0,Yes,No,29,Yes,Fiber optic,Month-to-month,Mailed check,No,98.27,2849.83,No
CUST-12354,Female,0,No,No,19,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,51.63,948.53,Yes
CUST-13877,Male,0,Yes,No,39,Yes,No,Month-to-month,Mailed check,Yes,21.61,880.18,No
CUST-11772,Male,0,No,Yes,58,Yes,DSL,Month-to-month,Credit card (automatic),Yes,54.01,3136.5,Yes
CUST-10370,Female,1,No,No,50,Yes,Fiber optic,Month-to-month,Mailed check,No,80.44,4021.53,Yes
CUST-10449,Female,1,Yes,Yes,44,Yes,Fiber optic,One year,Electronic check,Yes,68.64,3019.52,No
